cleaned_tokens,task1,task2
"['rt', 'skulltrendy', 'youre', 'sick', 'mosquitos', 'ruining', 'day', 'perfect', 'buy', 'amp', 'get', 'extra', '10', 'use', 'code', 'new10', '✅50…']",NOT,NONE
"['go', 'uste', 'kaminaman', '🐯💛']",NOT,NONE
"['dad', 'told', 'he’d', 'like', 'eventually', 'move', 'colorado', 'even', 'within', 'next', 'years', 'bet']",NOT,NONE
"['omg', 'stupiest', 'warning', 'ever', 'seen', 'imgonna', 'go', 'deaf', 'thunder', 'really', 'nws', 'httpstcoimg72zaou3']",NOT,NONE
"['rt', 'sohmer', 'realdonaldtrump', 'importer', 'pays', 'tariffs', 'fucking', 'moron', 'you’ve', 'levied', 'sales', 'tax', 'citizens']",HOF,HATE
"['rt', 'bjeleren', 'ive', 'dress', 'yet', 'realized', 'bitch', 'p', 'c', 'k', 'e', 'httpstcokftwk0olvy']",HOF,PRFN
"['great', 'news', 'thank', 'realdonaldtrump', 'pentagon', 'transfer', '15', 'billion', 'afghanistan', 'funding', 'trumps', 'bo…', 'httpstcocovw2oqegl']",NOT,NONE
"['rt', 'readkropotkin', 'hate', 'nazis', 'right', 'extra', 'hate', 'nazis', 'work', 'nc', 'division', 'prisons', 'right', 'glad', 'youre', 'board', 'this…']",HOF,HATE
"['rt', 'bilalfqi', 'shias', 'protesting', 'enforced', 'disappearances', 'outside', 'president', 'arifalvis', 'house', 'banned', 'sectarian', 'outfit', 'aswj…']",NOT,NONE
"['rt', 'antigopmvmt', 'trump', 'retweets', 'account', 'changes', 'name', 'fuck', 'donald', 'trump', 'httpstcoqpwx8mlwdb']",HOF,PRFN
"['yourrdesire', 'bitch', 'idgaf', 'lmao']",HOF,PRFN
"['rt', 'smstains007', 'modi', 'never', 'represent', 'myriad', 'dreams', 'aspirations', '2014', 'messiah', 'ushering', 'future', 'too…']",HOF,HATE
"['shit', 'eyes', 'closed']",HOF,PRFN
"['rt', 'jazzlaro', 'muslims', 'hate', 'dogs🐶', 'beer🍺bacon', '🥓bikinis', '👙', 'jesus', '🙏amp', 'freedom', 'speech', '🗣', 'exactly', 'come', 'america', '🇺🇸']",HOF,HATE
"['oh', 'shit', 'go', 'deixem', 'de', 'estar', '😂🛎🔛']",HOF,PRFN
"['bracarollo', 'fuck', 'thought', 'learning', 'spanish', 'difficult', 'idiot', 'come', 'inclusive', 'l…', 'httpstcotrkj3elsxm']",HOF,PRFN
"['rt', 'adderalldaddy', 'rapharmarinho', 'makayla3305', 'shanedawson', 'truly', 'ever', 'thought', 'james', 'danger', 'society', 'predator…']",HOF,OFFN
"['like', 'plan', 'things', 'spontaneous', '—', 'want', 'say', 'im', 'planner', 'everything', 'spur', 'th…', 'httpstcogt1bpzdujr']",NOT,NONE
"['chimpsinsocks', 'complete', 'utter', 'shite', 'spouts', 'virtually', 'everything', 'says', 'utter', 'shite']",HOF,PRFN
"['you’re', 'sifting', 'treasures', 'trash', 'inner', 'w', 'virgo', 'httpstcod0xcgdp9e5']",NOT,NONE
"['strawberry', 'kiwi', 'koolaid', 'shit']",HOF,PRFN
"['rt', 'genius', 'aint', 'question', 'want', 'need']",NOT,NONE
"['rt', 'taekookmemories', 'mark', 'legendary', 'date', 'taekookers', 'day', 'taekook', 'nation', 'finally', 'breathedt', 'may', 'fucking', 'eighteen', 'twentynine…']",HOF,PRFN
"['rt', 'clarajeffery', 'tech', 'guys', 'constantly', 'want', 'spend', 'billions', 'getting', 'space', 'rather', 'idk', 'spending', 'marshall', 'pla…']",NOT,NONE
"['rt', 'demetriusharmon', 'people', 'talk', 'regardless', 'know', 'fuck', 'talm', 'bout', 'ignore', 'em']",HOF,PRFN
"['ohiteni', 'okayyyy', '👏🏽', 'ya', 'going']",NOT,NONE
"['rt', 'jackposobiec', 'father', 'colorado', 'school', 'shooter', 'alec', 'mckinney', 'serial', 'felon', 'illegal', 'immigrant', 'httpstcoo04sq3npds']",HOF,OFFN
"['teampelosi', 'susandanzig219', 'phenomenal', 'job', 'sleep', 'better', 'night', 'knowing', 'youre', 'helm']",NOT,NONE
"['rt', 'christiaannn', 'hell', 'fucking', 'httpstcox7xoinfihv']",HOF,PRFN
"['＠null', 'another', 'hour', 'may', '19', '2019', '0900pm']",NOT,NONE
"['jakesherman', 'yashar', 'isnt', 'partisan', 'issue', 'lied', 'felony', 'needs', 'go']",NOT,NONE
"['rt', 'charliekirk11', 'sick', 'republicans', 'endorsing', 'positions', 'simply', 'appease', 'media', 'left', 'media', 'loves', 'republicans', 'th…']",HOF,NONE
"['rt', 'novrpali', 'ever', 'want', 'pray', 'pray', 'shahada', 'always', 'engraved', 'heart', 'final', 'breath', 'this…']",NOT,NONE
"['rt', 'laurabranigan', 'ready', 'stlouisblues', 'game', '5🙂', 'go', 'blues🙂💙🎶💛🏒', 'kathy', 'golik', 'half', 'entertainment', 'lgb', 'playgloria', 'laurabr…']",NOT,NONE
"['rt', 'shannon49170750', 'staring', 'carmex', 'applying', '3', 'minutes', 'ago', 'don’t', 'don’t', 'don’t', 'don’t', 'it…']",NOT,NONE
"['someone', 'said', 'look', 'like', 'max', 'theiriot', 'one', 'tell', 'shit', 'looks', 'best', 'compliment', 'ever']",HOF,PRFN
"['fuck', 'james', 'charles']",HOF,PRFN
"['rt', 'jintaellect', 'exols', 'brag', 'daesangsgucci', 'album', 'sales', 'bts', 'officially', 'highest', 'number', 'daesangsdior', 'works', 'for…']",NOT,NONE
"['rt', 'sam1914', 'stop', 'saying', 'love', 'simply', 'want', 'get', 'legs', 'honest', 'tell', 'want', 'might', 'give…']",HOF,OFFN
"['l', 'k', 'arms', 'theyre', 'buff', 'httpstcoqezqnlmdsz']",NOT,NONE
"['lyricalwarsgh', 'kahaz', 'vanish', 'go']",NOT,NONE
"['rt', 'scumbelievable', 'ferretparty', 'house', 'casten', 'sigil', 'white', 'shark', 'trailing', 'fish', 'field', 'deep', 'blue', 'words', 'blood', 'tell']",NOT,NONE
"['rt', 'brianjmoran', 'b1n2h3x', 'jtrajewski', 'ncccma', 'think', 'need', 'work', 'putting', 'together', 'internet', 'scooters', 'talk']",NOT,NONE
"['lfnsjxjeofkskfke', 'yoooo', 'fuck', 'embarrassing', 'ass', 'verse', '“all', 'get', 'vampires', 'bluud', 'suckas”']",HOF,PRFN
"['jon', 'y’all', 'making', 'excuses', 'y’all', 'partners', 'terrible', 'ass', 'behaviors']",HOF,PRFN
"['chaechaechae', 'little', 'chaer', '🐯', 'httpstco3shgwdzynb']",NOT,NONE
"['djdjduxudgybjdjdiendnfndj', 'hajimeme', 'fucking', 'lynxed', 'gold', 'one', 'yucky', 'nice', 'smell', 'still', 'yucky']",HOF,PRFN
"['ooh', 'never', 'go', 'walmart', 'lmao']",NOT,NONE
"['rt', 'whyyougagging', 'fact', 'she’s', 'looking', 'like', 'romantic', 'shit', 'ever', 'sending', 'httpstcofmsqc9n4tb']",HOF,PRFN
"['freakyacts', 'fuckkkk', 'need']",HOF,PRFN
"['rt', 'peedekaf', 'want', 'die', 'want', 'stop', 'feeling', 'empty', 'everyday']",HOF,PRFN
"['rt', 'lillymarypinto', 'want', 'happen', 'liar', 'pappu', 'foul', 'mouthed', 'siddu', 'sidramaiah', 'prakash', 'raj', 'many', 'think…']",NOT,NONE
"['every', 'fucking', 'thing', 'problem', 'stretching', 'fucking', 'problem', 'every', 'damn', 'thing', 'fucking', 'problem']",HOF,PRFN
"['rt', 'cocoamochacrml', 'irontriiogy', 'somewhere', 'six', 'hour', 'cut', 'film', 'need', 'put', 'blu', 'ray', 'need', '45', 'minut…']",NOT,NONE
"['rt', 'spytalker', 'third', 'case', 'less', 'year', 'former', 'us', 'intelligence', 'officer', 'pled', 'found', 'guilty', 'conspi…']",NOT,NONE
"['canelo28969897', 'itscandyyyyyyy', 'diamondrhona', 'darrel30901325', 'noblenosey', 'don’t', 'nobody', 'want', 'damn', 'white', 'man', 'ew', 'amp…', 'httpstcocuzxjazfgl']",HOF,PRFN
"['youll', 'look', 'like', 'hate', 'letter', 'l', 'sub', '2', 'myusernamesthis', 'httpstcomlmnezkxwj']",NOT,NONE
"['realsaavedra', 'benshapiro', 'hot', 'water', 'heater', 'went', 'todaythat', 'damn', 'trump', 'got']",HOF,OFFN
"['think', 'ought', 'know', 'dear', 'brothers', 'sisters', 'trouble', 'went', '…', 'httpstcoz13ryn86hz']",NOT,NONE
['need'],NOT,NONE
"['jadedmemoirs', 'thats', 'fuck', 'really', 'going', 'dofoh']",HOF,PRFN
"['trumpstudents', 'realdonaldtrump', 'hes', 'fighting', 'right', 'keep', 'fucking', 'siblings', 'children']",HOF,PRFN
"['rt', 'dvdjxx', 'draymond', 'lebron', 'eyes', 'looking', 'like', 'nigga', 'dead', 'ass', 'digging', 'butt', 'games', 'httpstcoaez9n7b6ow']",HOF,PRFN
"['rt', 'mrc3p0', 'u', 'dumb', 'bums', 'need', 'stop', 'getting', 'lashes', 'done', 'random', 'lash', '“tech”', 'make', 'sure', 'they’re', 'certified', 'lea…']",HOF,PRFN
"['rt', 'sehunwife124', 'help', 'rt', 'hi', 'everyone', 'need', 'help', 'report', 'instagram', 'acc', 'awiembr69', 'he’s', 'using', 'someone', 'vid', 'make', 'so…']",NOT,NONE
"['aweminusdub', 'you’re', 'pouring', '3']",NOT,NONE
"['agree', 'president', 'trump']",NOT,NONE
"['rt', 'mannyrae', 'youre', 'feeling', 'sorry', 'people', 'kings', 'landing', 'remember', 'rooted', 'neds', 'execution', 'gameofthrones', 'https…']",NOT,NONE
"['cannot', 'fucking', 'wait', 'week', 'tbh', 'absolute', 'gall', 'certain', 'people', 'absolutely', 'beyond']",HOF,PRFN
"['imarcism', 'colorblindk1d', 'noahcrothman', 'know', 'probably', 'legitimately', 'think', 'living', 'tyrannical', 'l…', 'httpstcol26ntwwvqo']",NOT,NONE
"['rt', 'remdior', 'fandom', 'fucking', 'sucks', '2013', 'best', 'never', 'problematic', 'back', 'ariana', 'little', 'secret', 'every', 'oth…']",HOF,PRFN
"['rt', 'mroluwag', 'netflix', 'movie', 'finally', 'time', 'fuck', 'httpstcojqye3qnjxn']",HOF,PRFN
"['kamalaharris', 'righteous', 'fierce', 'gonna', 'need', 'ever', 'gonna', 'crawl', 'slagheap', 'corruption']",NOT,NONE
"['eltlaxca', 'joseruelas', 'shotwithsoju', 'msazealiabanks', 'she’s', 'ass', 'like', 'cyst', 'ass']",HOF,OFFN
"['rt', 'soeljchillinger', 'dumbass', 'dmed', 'telling', 'couldn’t', 'dance', '‘when', 'party’s', 'over’', 'go', 'fuck', 'greg', 'httpstco…']",HOF,PRFN
"['rt', 'psofficialth', 'go', 'go', 'go', '🔥🔥🔥🔥💪', 'วันเฮบ้านฮา', 'heydayxperthsaint', 'httpstco1x0ixbglfl']",NOT,NONE
"['dothrakisavage', 'jon', 'bitch']",HOF,PRFN
"['rt', 'tatsuforbs', 'shit', 'dying', '😂😂😂😂😭😭', 'httpstcoxwir6zn9mw']",HOF,PRFN
"['rt', 'micpim', 'wonder', 'trump', 'supporters', 'think', 'undocumented', 'ass', 'graduating', 'undergrad', '4', 'years', '3', 'majors', 'chemmathbio…']",HOF,HATE
"['bitch', 'fuck']",HOF,PRFN
"['rt', 'blessingmariah', 'illegal', 'immigrant', 'nigeria', 'college', 'graduatein', 'words', 'fuck', 'donald', 'trump', 'httpstc…']",HOF,PRFN
"['cmon', 'dude', 'keep', 'damn', 'fairway', 'don’t', 'give', 'away']",HOF,PRFN
"['rt', 'tyra267', 'lol', 'trash', 'ass', 'ending', 'gameofthronesfinale', 'httpstcowlqk7foock']",HOF,PRFN
"['rt', 'sexualhub2', 'fuck', 'slutty', 'busty', 'milf', 'stepmom', '😍😍💋💋🔥🔥💦💦', 'free', '⬇️⬇️click', 'amp', 'enjoy', 'fuck⬇️⬇️', '💋', 'httpstcop6dmkk7zpw', '💋', 'h…']",HOF,OFFN
"['purelysteve', 'far', 'i’m', 'concerned', 'that’s', 'america’s', 'ass']",HOF,PRFN
"['cutest', 'shit', 'ive', 'ever', 'seen', 'httpstcoidgoe17i62']",HOF,PRFN
"['rt', 'abhisarsharma', 'pragya', 'thakur', 'defends', 'father', 'guess', 'party', 'choice', 'rather', 'party', 'welcome', 'wit…']",NOT,NONE
"['rt', 'eternallyixing', '190510', 'yixing', 'weibo', 'update', '“layzhang', 'uh', 'fat', 'fur', 'long”', '🐶', 'httpstcor4dcg1phvc']",NOT,NONE
"['rt', 'pomusana', 'y’all', 'stick', 'damn', 'crying', 'tweets', 'ass', 'honestly', 'feel', 'bad', 'blackpink', 'fans', 'like', 'gu…']",HOF,HATE
"['mags', 'news', 'test', 'mode', 'may', '19', '2019', '0458pm', 'httpstcod62irng8fv']",NOT,NONE
"['princessdaddyve', 'cooperated', 'much', 'could', 'friend', 'twted', 'private', 'info', 'like', 'th…', 'httpstcor7xppllcz0']",NOT,NONE
"['rt', 'monicalauren', 'juke', 'jam', 'chance', 'rapper', 'fucking', 'classic']",HOF,PRFN
"['rt', 'pfr1end', 'ever', 'advert', 'abolishing', 'lords', 'lord', 'bichard', 'says', 'retired', 'people', 'could', 'work', 'pensions', 'pe…']",NOT,NONE
"['3', 'people', 'followed', 'automatically', 'checked', 'httpstconqi4qeimwz']",NOT,NONE
"['hear', 'siblings', 'coming', 'house', 'ewww', 'whats', 'awful', 'smell', 'jesss', 'poop', 'im', 'sick', 'sorry']",HOF,OFFN
"['rt', 'mrmanhere', 'nigerians', 'don’t', 'chill', 'they’ve', 'made', 'music', 'video', '“fuck', 'jesus', 'glory”', 'guy', '😂', 'httpstcosfwld…']",HOF,PRFN
"['rt', '2019thoughts', 'can’t', 'bitch', 'shawnmendes']",HOF,PRFN
"['rt', 'chuckmabli', 'georgia', 'put', 'ass', 'jail', 'go', 'state', 'abortion', 'colorado', 'don’t', 'give', 'af', 'got', 'mushrooms…']",HOF,PRFN
"['lesawe', 'never', 'trusted', 'hand', 'dryers']",HOF,NONE
"['rt', 'bytemyascii', 'wait', 'fucking', 'minute', 'eggman', 'arent', 'chaos', 'emeralds', 'httpstcorqk2pydrmj']",HOF,PRFN
"['chansonjiaer', 'wanted', 'thit', 'save', 'beat', 'shit']",HOF,PRFN
"['casforachange', 'thank', 'much💕💕nobody', 'deserves', 'go', 'something', 'horrid', 'you’re', 'strong', 'ah❤️']",NOT,NONE
"['need', 'httpstcopycczznw9d', 'go', 'avalanchethearchitect', 'drake']",NOT,NONE
"['don’t', 'get', 'two', 'kills', 'two', 'shots', 'i’m', 'going', 'phone', 'fortnite', 'xboxshare', 'httpstcoujugkk0oyc']",NOT,NONE
"['justintrudeau', 'it’s', 'becoming', 'increasingly', 'unclear', 'you’re', 'still', 'advocating', 'another', 'pipeline', 'you…', 'httpstcoic7tbkbrkd']",NOT,NONE
"['rt', 'kayagbayani', 'u', 'bitch', 'u', 'got', 'dis']",HOF,PRFN
"['you’re', 'pregnant', 'calebhayden40', 'whore']",HOF,OFFN
"['rt', 'yoongibucket', 'fuck', 'seeing', 'smol', 'polite', 'smiles', 'sets', 'heart', 'fire', 'btstwt', 'httpstcoc2eu7i63p5']",HOF,PRFN
"['tell', 'want']",NOT,NONE
"['rt', 'gaciria', '⚠️⚠️only', 'minutes', 'left⚠️⚠️', 'go', 'go', 'go', 'btstwt', 'bbmastopsocial', 'bts', 'httpstcooiattr3bis']",NOT,NONE
"['rt', 'ryanbacardi', 'close', 'ass', 'game', 'lol', 'httpstcoqamqjdzvjh', 'httpstcom5bmbfwram']",HOF,PRFN
"['rt', 'jimmymac1888', 'cannae', 'believe', 'shambles', '‘the', 'ballot’', 'final', 'fickwit', 'cp', 'decided', 'fuck', 'people', 'ticket…']",HOF,PRFN
"['rt', 'sirenalba', 'ryandestiny', 'ugh', 'help', 'us', 'show', 'back', 'instead', 'httpstco2drrypmb5x', 'don’t', 'wanna', 'say', 'bye', 'savestar', 'renewstar']",NOT,NONE
"['rt', 'jeen4tae', 'taehyung', 'visual', 'always', 'go', 'hand', 'hand', 'httpstcoth1xootyhe']",NOT,NONE
"['rt', 'sapphicaptain', 'gamora', 'getting', 'ready', 'give', 'gays', 'everything', 'want', 'httpstco32atb3ulzy']",NOT,NONE
"['1', 'like', '1', 'indireta', 'com', 'inicial', '—', 'go', 'go', 'httpstcof2fzdgyuxw']",NOT,NONE
"['prolificpapi', '🤣', 'bun', 'anyway', 'cheated']",HOF,OFFN
"['lilbittyya', 'mfers', 'sick', 'asl💯', 'that’s']",HOF,PRFN
"['would', 'stop', 'treating', 'clinical', 'terms', 'taboo', 'wouldnt', 'taboo', 'saying', 'words', 'like', 'penis', 'vagina', 'sper…', 'httpstcodydf0nb6b0']",NOT,NONE
"['need', 'word', '‘going', 'somewhere', 'alonesitting', 'waiting', 'stranger', 'approach', 'you’']",NOT,NONE
"['sister', 'thought', 'slick', 'coming', 'house', 'drunk', 'dad', 'caught', 'amp', 'exposed', 'tf', '😂😂😂']",NOT,NONE
"['wow', 'hate', 'much', 'like', 'im', 'wow', 'much', 'needy', 'selfish', 'crying', 'bitch', 'stupid', 'ugly', 'unworthy']",HOF,PRFN
"['cannot', 'stress', 'enough', 'know', 'you’re', 'lying']",NOT,NONE
"['rt', 'marleygonarley', 'bitch', 'backwood', 'ur', 'bitch', 'swisher', 'sweet', 'niggggga', 'httpstcoplnnqclpwt']",HOF,HATE
"['country', 'seem', 'determined', 'plumb', 'depths', 'evil', 'want', 'us', 'opposite', 'want…', 'httpstcou7ryqhr0ug']",NOT,NONE
"['alejandriaeliz1', 'kunkelana', 'suck', 'pussy']",HOF,PRFN
"['rt', 'ogbenidipo', 'young', 'followers', 'please', 'don’t', 'engage', 'cybercrime', 'yahoo', 'yahoo', 'destroying', 'future', 'work…']",NOT,NONE
"['ok', 'well', 'bitch', 'keep', 'name', 'mouth', 'that’s', 'real', 'don’t', 'care', 'fucking', 'dumb', 'ass', 'bitch', 'always', 'w…', 'httpstcohgziufvh8g']",HOF,PRFN
"['realdonaldtrump', 'swamp', 'people', 'found', 'httpstcoaljhalup8c']",NOT,NONE
